MatchID,OpponentID,Perfomance1_InvasionIndex,Performance2_AccelerationIndex,Performance3_Flexibility,Performance4_Connectivity,Performance5_PassingVolumn,Performance6_DefenseIndex,Success1_Shots,Success2_EfficacyOfShots,Success3_Possession
1,Opponent1,,,,,482,500,0.307692308,0.0625,0.523360089
2,Opponent2,,,,,276,277.7777778,0.269230769,0.071428571,0.454418018
3,Opponent3,,,,,419,277.7777778,0.269230769,0,0.454586273
4,Opponent4,,,,,446,333.3333333,0.346153846,0,0.51547016
5,Opponent5,,,,,469,416.6666667,0.230769231,0,0.531138371
6,Opponent6,,,,,414,625,0.576923077,0.066666667,0.508242682
7,Opponent7,,,,,501,1250,0.923076923,0,0.603453614
8,Opponent8,,,,,424,454.5454545,0.423076923,0.045454545,0.471509915
9,Opponent9,,,,,267,192.3076923,0.269230769,0.142857143,0.476557849
10,Opponent10,,,,,456,714.2857143,0.5,0,0.593651451
11,Opponent11,,,,,285,500,0.307692308,0.1875,0.474713188
12,Opponent12,,,,,240,357.1428571,0.269230769,0.142857143,0.467298653
13,Opponent13,,,,,303,333.3333333,0.192307692,0.1,0.466226182
14,Opponent14,,,,,412,1000,0.230769231,0.333333333,0.494931884
15,Opponent15,,,,,346,1250,0.230769231,0.166666667,0.492474415
16,Opponent16,,,,,159,208.3333333,0.038461538,0.5,0.351183806
17,Opponent17,,,,,406,384.6153846,0.269230769,0.071428571,0.474447834
18,Opponent18,,,,,415,714.2857143,0.384615385,0.15,0.478489901
19,Opponent3,,,,,320,208.3333333,0.153846154,0,0.432131822
20,Opponent19,,,,,324,384.6153846,0.192307692,0,0.503810166
21,Opponent6,,,,,461,294.1176471,0.269230769,0.071428571,0.538588852
22,Opponent5,,,,,353,238.0952381,0.384615385,0,0.474717226
23,Opponent4,,,,,343,250,0.192307692,0,0.502730381
24,Opponent19,,,,,462,333.3333333,0.307692308,0.0625,0.562277735
25,Opponent10,,,,,331,833.3333333,0.423076923,0.090909091,0.513775151
26,Opponent9,,,,,355,357.1428571,0.423076923,0.045454545,0.534043239
27,Opponent12,,,,,373,384.6153846,0.307692308,0.1875,0.494539546
28,Opponent11,,,,,334,416.6666667,0.153846154,0,0.510797151
29,Opponent7,,,,,325,238.0952381,0.384615385,0.05,0.535997706
30,Opponent8,,,,,404,500,0.461538462,0.083333333,0.517856097
31,Opponent1,,,,,430,500,0.576923077,0.066666667,0.493087512
32,Opponent2,,,,,182,277.7777778,0.192307692,0.1,0.304658962
33,Opponent16,,,,,315,500,0.230769231,0,0.443410341
34,Opponent18,,,,,405,333.3333333,0.384615385,0.05,0.5003448
35,Opponent17,,,,,469,625,0.269230769,0.071428571,0.50594827
36,Opponent15,,,,,408,555.5555556,0.230769231,0.166666667,0.479604233
37,Opponent13,,,,,388,625,0.230769231,0.083333333,0.5391023
38,Opponent14,,,,,341,333.3333333,0.5,0.038461538,0.496560294
